%  Stalagmite A1, Lianhua, China (Cosford et al., 2008)
%
%  Age years BP     d18O     d13C
%
1355.7	-3.82	-5.29
1370.4	-3.59	-4.74
1385.2	-3.89	-4.16
1399.9	-3.90	-4.13
1414.7	-3.93	-4.47
1429.4	-4.07	-4.28
1444.2	-4.10	-3.69
1458.9	-4.59	-4.27
1473.7	-4.61	-4.19
1488.4	-4.31	-3.39
1503.1	-4.52	-3.27
1517.9	-3.86	-4.05
1532.6	-4.23	-4.68
1547.4	-4.14	-4.80
1562.1	-4.60	-4.62
1576.9	-4.12	-3.38
1591.6	-4.22	-3.02
1606.4	-4.28	-2.37
1621.1	-3.92	-2.13
1635.9	-4.19	-2.30
1650.6	-3.79	-1.70
1665.4	-3.61	-1.82
1680.1	-4.13	-1.99
1694.9	-4.19	-2.01
1709.6	-4.27	-2.63
1724.4	-4.41	-3.01
1739.1	-4.42	-2.89
1753.9	-4.38	-2.61
1768.6	-4.20	-2.76
1783.4	-3.97	-2.86
1798.1	-4.16	-3.42
1812.9	-4.33	-3.42
1827.6	-4.09	-3.21
1842.3	-4.15	-3.23
1857.1	-4.33	-2.88
1871.8	-3.98	-3.04
1886.6	-3.99	-3.62
1901.3	-4.02	-3.05
1916.1	-3.56	-3.06
1930.8	-3.49	-2.68
1945.6	-3.82	-2.55
1960.3	-4.36	-2.05
1975.1	-4.82	-1.89
1989.8	-4.93	-2.72
2004.6	-4.93	-3.61
2019.3	-4.43	-3.77
2034.1	-4.24	-3.46
2048.8	-4.77	-3.59
2063.6	-4.43	-3.14
2078.3	-4.26	-2.93
2093.1	-4.39	-3.86
2107.8	-4.53	-4.57
2122.6	-4.54	-4.84
2137.3	-4.26	-4.19
2152.1	-4.71	-5.17
2166.8	-4.42	-4.09
2181.5	-4.57	-3.82
2196.3	-4.83	-3.59
2211.0	-4.53	-3.34
2225.8	-4.25	-3.08
2240.5	-3.93	-2.92
2255.3	-4.08	-2.93
2270.0	-4.11	-2.54
2284.8	-4.16	-2.85
2299.5	-4.26	-2.79
2314.3	-4.47	-2.78
2329.0	-4.33	-2.47
2343.8	-4.51	-2.53
2358.5	-4.75	-3.04
2373.3	-4.84	-2.64
2388.0	-4.92	-2.25
2402.8	-4.17	-1.39
2417.5	-4.04	-1.21
2432.3	-4.11	-1.23
2447.0	-3.85	-0.89
2461.8	-3.79	-0.65
2476.5	-3.77	-0.43
2491.3	-3.64	-0.48
2506.0	-3.64	0.08
2510.0	-3.75	-1.12
2514.0	-4.05	-1.54
2518.0	-4.55	-1.25
2522.0	-4.05	-2.24
2526.0	-4.33	-3.37
2530.0	-4.56	-3.55
2534.0	-4.86	-3.38
2538.0	-5.28	-4.23
2542.0	-4.98	-3.82
2546.0	-5.31	-4.48
2550.0	-4.95	-4.09
2554.0	-5.04	-3.59
2558.0	-5.19	-4.11
2562.0	-5.11	-3.93
2566.0	-5.07	-4.11
2570.0	-4.61	-3.88
2574.0	-5.04	-4.20
2578.0	-5.30	-4.36
2582.0	-5.11	-4.80
2586.0	-4.62	-3.73
2590.0	-4.66	-4.00
2594.0	-4.85	-4.26
2598.0	-5.27	-4.31
2602.0	-4.78	-4.01
2606.0	-5.36	-4.35
2610.0	-5.13	-3.94
2614.0	-4.95	-4.20
2618.0	-4.57	-3.86
2622.0	-5.11	-4.28
2626.0	-5.66	-4.47
2630.0	-5.34	-4.29
2634.0	-5.41	-4.45
2638.0	-5.21	-4.18
2642.0	-5.07	-4.25
2646.0	-4.76	-4.64
2650.0	-4.80	-4.07
2654.0	-4.86	-4.27
2658.0	-4.78	-4.36
2662.0	-3.93	-4.28
2666.0	-3.66	-4.38
2670.0	-3.80	-4.85
2674.0	-3.79	-4.53
2678.0	-3.85	-4.47
2682.0	-3.76	-4.54
2686.0	-4.12	-4.29
2690.0	-4.45	-3.85
2694.0	-4.02	-3.94
2698.0	-4.17	-4.35
2702.0	-4.25	-4.27
2706.0	-4.31	-4.23
2710.0	-4.46	-4.27
2714.0	-3.92	-3.75
2718.0	-4.51	-4.12
2722.0	-4.41	-4.12
2726.0	-4.86	-4.10
2730.0	-4.14	-4.19
2734.0	-4.61	-4.39
2738.0	-4.17	-4.55
2742.0	-4.21	-4.38
2746.0	-4.63	-4.84
2750.0	-4.88	-4.99
2754.0	-4.38	-4.03
2758.0	-4.37	-4.36
2762.0	-4.39	-3.93
2766.0	-3.94	-3.33
2770.0	-4.13	-3.10
2774.0	-4.18	-2.70
2778.0	-4.28	-2.68
2782.0	-4.94	-3.72
2786.0	-5.03	-4.41
2790.0	-4.74	-4.68
2794.0	-4.62	-4.40
2798.0	-4.35	-4.29
2802.0	-4.65	-4.34
2806.0	-4.55	-4.38
2810.0	-4.38	-3.46
2814.0	-4.75	-3.46
2818.0	-4.48	-3.18
2822.0	-4.55	-3.03
2826.0	-4.39	-2.47
2830.0	-4.69	-2.92
2834.0	-4.19	-2.27
2838.0	-4.97	-2.76
2842.0	-4.71	-2.11
2846.0	-4.65	-2.35
2850.0	-4.39	-1.93
2854.0	-4.15	-1.98
2858.0	-3.96	-1.98
2862.0	-3.89	-1.82
2866.0	-4.27	-2.13
2870.0	-4.68	-2.04
2878.0	-4.76	-2.01
2885.9	-4.25	-1.34
2893.9	-4.29	-1.09
2901.8	-4.47	-1.74
2909.8	-4.62	-2.10
2917.8	-4.44	-1.88
2925.7	-4.67	-1.25
2933.7	-4.60	-1.23
2941.6	-4.35	-1.58
2949.6	-4.25	-0.85
2957.5	-4.50	-1.70
2965.5	-4.09	-2.31
2973.5	-3.90	-1.38
2981.4	-3.74	-1.67
2989.4	-3.87	-1.27
2997.3	-3.98	-1.42
3005.3	-3.67	-0.93
3013.3	-3.99	-1.36
3021.2	-3.44	-0.78
3029.2	-3.86	-0.78
3037.1	-3.68	-0.54
3045.1	-3.93	-1.19
3053.0	-3.43	-0.51
3061.0	-3.49	-1.12
3069.9	-3.61	-1.00
3078.8	-3.97	-1.05
3087.7	-3.99	-1.60
3096.7	-3.69	-1.38
3105.6	-4.04	-2.13
3114.5	-3.84	-1.89
3123.4	-4.12	-1.83
3132.3	-4.44	-2.05
3141.2	-4.30	-2.37
3150.1	-4.17	-2.57
3159.0	-4.00	-1.78
3168.0	-4.11	-1.87
3176.9	-4.35	-2.68
3185.8	-4.43	-1.72
3194.7	-4.58	-2.76
3203.6	-4.55	-2.81
3212.5	-4.16	-3.05
3221.4	-4.49	-2.99
3230.3	-4.36	-3.76
3239.3	-4.17	-3.67
3248.2	-3.63	-2.96
3257.1	-3.95	-2.89
3266.0	-4.03	-2.51
3274.9	-4.33	-3.41
3283.8	-4.37	-3.32
3292.7	-4.46	-3.69
3301.6	-4.48	-5.04
3310.6	-4.40	-3.42
3319.5	-5.63	-5.38
3328.4	-5.12	-5.29
3337.3	-6.36	-6.01
3346.2	-5.84	-5.48
3355.1	-5.91	-5.13
3364.0	-5.63	-4.86
3372.9	-5.71	-4.45
3381.9	-5.56	-5.08
