%  Stalagmite H5, Hoti, Oman (Neff et al., 2001)
%
%  Age years BP     d18O
%
7991.5    -5.03
7992.2    -4.53
7992.8    -4.74
7993.5    -4.73
7994.1    -5.14
7994.8    -4.78
7995.4    -4.56
7996.1    -4.68
7996.7    -4.66
7997.4    -4.13
7998.0    -4.33
7998.7    -4.33
7999.3    -4.61
8000.0    -4.39
8000.6    -4.59
8001.3    -4.52
8001.9    -4.42
8002.6    -4.42
8003.2    -4.26
8003.9    -4.45
8004.5    -4.26
8005.2    -4.68
8005.8    -3.90
8006.5    -4.36
8007.1    -4.17
8007.8    -4.29
8008.4    -4.58
8009.1    -4.77
8009.7    -4.80
8010.4    -4.70
8011.0    -4.74
8011.7    -4.38
8012.3    -4.84
8013.0    -4.57
8013.6    -5.06
8014.2    -5.38
8014.9    -5.36
8015.5    -5.22
8016.2    -5.66
8016.8    -5.47
8017.5    -5.33
8018.1    -5.20
8018.8    -5.37
8019.4    -5.36
8020.1    -5.54
8020.7    -5.08
8021.4    -4.93
8022.0    -4.77
8022.7    -5.48
8023.3    -5.31
8024.0    -4.82
8024.6    -4.96
8025.3    -5.14
8025.9    -5.49
8026.6    -5.11
8027.2    -5.42
8027.9    -5.54
8028.5    -5.12
8029.2    -5.06
8029.8    -5.12
8030.5    -4.83
8031.1    -5.36
8031.8    -5.47
8032.4    -5.30
8033.1    -5.61
8033.7    -5.64
8034.4    -5.50
8035.0    -5.21
8035.7    -5.00
8036.3    -4.95
8037.0    -5.57
8037.6    -5.49
8038.2    -4.89
8038.9    -4.73
8039.5    -5.26
8040.2    -5.51
8040.8    -5.29
8041.5    -3.65
8042.1    -4.12
8042.8    -5.30
8043.4    -5.30
8044.1    -5.15
8044.7    -5.13
8045.4    -5.00
8046.0    -4.55
8046.7    -4.79
8047.3    -4.53
8048.0    -4.00
8048.6    -4.44
8049.3    -4.49
8049.9    -3.99
8050.6    -3.95
8051.2    -4.23
8051.9    -3.54
8052.5    -4.19
8053.2    -4.19
8053.8    -4.35
8054.5    -4.79
8055.1    -4.49
8055.8    -4.88
8056.4    -4.89
8057.1    -4.57
8057.7    -4.48
8058.4    -5.06
8059.0    -5.21
8059.7    -5.09
8060.3    -4.94
8061.0    -4.51
8061.6    -4.77
8062.3    -4.85
8064.0    -5.19
8064.6    -4.69
8065.2    -4.66
8065.7    -4.65
8066.3    -4.83
8066.8    -5.02
8067.4    -5.28
8068.0    -5.46
8068.5    -5.30
8069.1    -4.84
8069.7    -4.61
8070.2    -4.70
8070.8    -4.61
8071.4    -4.36
8071.9    -4.45
8072.5    -4.20
8073.1    -4.49
8073.6    -4.66
8074.2    -4.86
8074.7    -5.06
8075.3    -4.78
8075.9    -4.57
8076.4    -4.95
8077.0    -4.65
8077.6    -4.45
8078.1    -4.74
8078.7    -4.76
8079.3    -4.39
8079.8    -4.47
8080.4    -4.92
8081.0    -5.13
8081.5    -5.18
8082.1    -5.21
8082.6    -4.99
8083.2    -5.19
8083.8    -4.92
8084.3    -5.18
8084.9    -5.11
8085.5    -4.72
8086.0    -4.39
8086.6    -4.44
8087.2    -4.89
8087.7    -5.59
8088.3    -5.36
8088.8    -5.39
8089.4    -4.99
8090.0    -4.66
8090.5    -4.69
8091.1    -4.69
8091.7    -4.77
8092.2    -4.52
8092.8    -5.05
8093.4    -5.17
8093.9    -5.37
8094.5    -4.77
8095.1    -4.42
